e_ref dnde dnde_err
1.747010998036524529e-06 4.775274433470494270e+09 3.852106884527329803e+08
6.406865972315717718e-05 1.293892907531861514e+08 5.290519725147432834e+07
1.711376761754125890e-04 5.300274246591061354e+07 2.866146185710022971e+07
5.494648100905600296e-01 9.143064628951940165e+01 5.767975162460670102e-01
8.909262134108000275e-01 3.388929215398354700e+01 3.404852405753620581e-01
1.232387616731040136e+00 1.683221961788713017e+01 3.183977519571228321e-01
1.573849020051280023e+00 9.801088052029179210e+00 2.809626063246795646e-01
1.915314559039216213e+00 6.308403244361114659e+00 2.379637496623852599e-01
2.256775962359456322e+00 4.352142105786360737e+00 2.032961278670948890e-01
2.598237365679696431e+00 3.158670683941566804e+00 1.748363140614953293e-01
2.939698768999936096e+00 2.383122001402253609e+00 1.509344826394361239e-01
3.281164307987872064e+00 1.854081369630697473e+00 1.315473261509252090e-01
3.622625711308112173e+00 1.478517620749710160e+00 1.153985294301689973e-01
2.026477171040000247e+00 5.864050009704127042e+00 2.897022420338970505e-01
3.180808195676736450e+00 2.224303738835513577e+00 1.527785417886167452e-01
4.335130948978080490e+00 1.142563449150976851e+00 1.138385886265598362e-01
5.489478516285600129e+00 6.873103588823816779e-01 8.357693964009761667e-02
6.643826083593120657e+00 4.556765126405680766e-01 6.133233220984715683e-02
2.999758961758419105e+02 1.582469382664716337e-05 4.080313367272164840e-06
4.999598338525160557e+02 3.650546793583342533e-06 6.339850268949243859e-07
9.999196677050321114e+02 5.759517157924839657e-07 7.228161244159597538e-08
1.299895568016541802e+03 3.042690216085259458e-07 3.045934190743449067e-08
2.299815194364896797e+03 8.786877919764992029e-08 6.044119611028203834e-09
3.299734862069929022e+03 4.324408763443927580e-08 2.653850213153642005e-09
4.299654364348252784e+03 2.648668846466989430e-08 1.556918939077169463e-09
5.299574032053285009e+03 1.816883137120565887e-08 1.032276902296058291e-09
6.299493699758317234e+03 1.334471085414111863e-08 6.905317054401938187e-10
7.299413367463349459e+03 1.029416066466684216e-08 4.668990314573080175e-10
8.299333035168381684e+03 8.197234583314313741e-09 3.108774828502371321e-10
9.299252702873413000e+03 6.741653993289478062e-09 2.614308727788696280e-10
1.029917237057844613e+04 5.668107954360783228e-09 2.402901941787381693e-10
1.929844937992373525e+04 1.964904061150096207e-09 1.718824828765871832e-10
2.929764605697405568e+04 9.897494160621050755e-10 1.379552893300756658e-10
3.929684232045760291e+04 6.085471180867134843e-10 1.056229363929261402e-10
4.929603817037439148e+04 4.185666961257257026e-10 8.254688637721456142e-11
5.929523484742471192e+04 3.077786917136515692e-10 6.546054853090278524e-11
6.929443152447503235e+04 2.383535798396703557e-10 5.548938490613140277e-11
7.929362820152535278e+04 1.908570392827772280e-10 4.738617871542600561e-11
8.929282487857567321e+04 1.570297385376134151e-10 4.087317493682616247e-11
9.929202155562599364e+04 1.316543071516508900e-10 3.547422701628218307e-11
1.770000016771633923e+08 9.181377501858378569e-16 1.454431886039297772e-16
5.559999921837792397e+08 1.009793734652541288e-16 1.173557130527144375e-17
1.745000029619344473e+09 1.129870992604994269e-17 1.452885685597117412e-18
5.476999966146459579e+09 9.300527412474545187e-19 2.169995326875440284e-19
1.718999996661485672e+10 8.262360068541749931e-20 3.735777737500195786e-20
7.906619956358691406e+10 2.608679204559428336e-21 6.674424537889983643e-22
1.736070006433402710e+11 1.234684070800113894e-22 4.020905301582033345e-23
4.049660034620074463e+11 6.958020109711687650e-24 2.265965449019301770e-24
