e_ref dnde dnde_err
5.789934774400000694e-06 4.222652216792277992e+07 4.170520707942991052e+06
9.512035700800000655e-06 3.522276728338808566e+07 3.490544505560982041e+06
2.067833848000000054e-05 2.160329726714469120e+07 2.189523371670070104e+06
3.473960864640000416e-05 1.298943428828077391e+07 1.303287721232184675e+06
6.203501544000001179e-05 7.468707501141238958e+06 7.541691613530240720e+05
9.098468931200001187e-05 4.694205410474468023e+06 4.644443515663785511e+05
1.778337109280000257e-04 2.299848192723213229e+06 2.291361668026817788e+05
5.376368004800000750e-04 6.428216052723667817e+05 6.428216052723666508e+04
3.564945553952000509e-04 1.354693501419996843e+06 8.466834383874980267e+04
6.617068313600001084e-02 5.017657726743910303e+02 2.964979565803219685e+01
1.410262684335999994e-01 1.284177930598281705e+02 1.284177930598281669e+01
6.038074836160000070e-01 1.299717069941137781e+00 9.557258606983806692e-02
7.733698591520000720e-01 2.987143651180427795e-01 2.987143651180427725e-02
1.129037281008000049e+00 6.270170522630126586e-02 6.270170522630127800e-03
1.567418056784000147e+00 2.126350214521745621e-02 2.126350214521745795e-03
2.266345897408000187e+00 6.244827830956914926e-03 6.244827830956914709e-04
